Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 27897252,      476.547,
Traffic, 28758648,      529.422,
BasketballDrive, 13793093,      272.516,
BQTerrace, 16008782,      274.422,
Cactus, 16425320,      274.688,
Kimono, 13474369,      271.391,
ParkScene, 15816676,      274.750,
BasketballDrill, 2846519,       53.156,
BQMall, 3054415,       53.500,
PartyScene, 3855959,       53.922,
RaceHorsesC, 3089431,       53.031,
BasketballPass, 715059,       12.984,
BlowingBubbles, 887680,       13.094,
BQSquare, 857924,       13.250,
RaceHorses, 836207,       13.156,
FourPeople, 5578159,      121.484,
Johnny, 5150611,      121.078,
KristenAndSara, 5122837,      120.984,
BasketballDrillText, 2693554,       53.422,
ChinaSpeed, 3890714,       98.375,
SlideEditing, 3682327,      106.812,
SlideShow, 1134967,       74.438,
