Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 27682403,      563.422,
Traffic, 28552139,      559.859,
BasketballDrive, 13598152,      311.422,
BQTerrace, 15856981,      320.203,
Cactus, 16347181,      320.328,
Kimono, 13380565,      318.750,
ParkScene, 15717303,      320.969,
BasketballDrill, 2825707,       61.031,
BQMall, 3037948,       62.438,
PartyScene, 3835320,       62.375,
RaceHorsesC, 3073968,       61.016,
BasketballPass, 708501,       15.047,
BlowingBubbles, 884778,       15.141,
BQSquare, 854514,       14.875,
RaceHorses, 833508,       14.359,
FourPeople, 5440112,      139.656,
Johnny, 4975258,      138.234,
KristenAndSara, 4937056,      138.266,
BasketballDrillText, 2675178,       61.812,
ChinaSpeed, 3772713,      110.891,
SlideEditing, 3648452,      121.234,
SlideShow, 1095192,       80.062,
