Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 7239268,      122.984,
Traffic, 7482519,      124.797,
BasketballDrive, 3952564,       63.406,
BQTerrace, 4365041,       63.172,
Cactus, 4721632,       64.094,
Kimono, 3660385,       62.891,
ParkScene, 4365609,       63.812,
BasketballDrill, 823445,       12.406,
BQMall, 858031,       12.406,
PartyScene, 1092770,       12.453,
RaceHorsesC, 846947,       12.062,
BasketballPass, 186080,        3.016,
BlowingBubbles, 249072,        3.031,
BQSquare, 244431,        3.078,
RaceHorses, 228709,        3.016,
FourPeople, 1436345,       27.516,
Johnny, 1352833,       27.406,
KristenAndSara, 1332868,       27.359,
BasketballDrillText, 773806,       12.078,
ChinaSpeed, 935296,       21.594,
SlideEditing, 926522,       23.766,
SlideShow, 197838,       15.438,
