Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 8251173,       96.391,
Traffic, 8498810,       97.469,
BasketballDrive, 4073706,       49.031,
BQTerrace, 4733664,       49.359,
Cactus, 4859190,       49.375,
Kimono, 3979978,       48.719,
ParkScene, 4681072,       49.203,
BasketballDrill, 843204,        9.578,
BQMall, 906358,        9.578,
PartyScene, 1142762,        9.688,
RaceHorsesC, 920407,        9.469,
BasketballPass, 210708,        2.359,
BlowingBubbles, 261727,        2.375,
BQSquare, 253284,        2.406,
RaceHorses, 249608,        2.375,
FourPeople, 1638807,       21.719,
Johnny, 1511409,       21.625,
KristenAndSara, 1505649,       21.625,
BasketballDrillText, 797945,        9.469,
ChinaSpeed, 1109025,       17.422,
SlideEditing, 1073409,       19.156,
SlideShow, 240124,       12.562,
