Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 7418427,      120.250,
Traffic, 7637749,      121.562,
BasketballDrive, 3959141,       61.406,
BQTerrace, 4392709,       61.312,
Cactus, 4729786,       61.891,
Kimono, 3713425,       61.297,
ParkScene, 4430624,       61.875,
BasketballDrill, 808760,       12.000,
BQMall, 861539,       12.016,
PartyScene, 1094210,       12.062,
RaceHorsesC, 857885,       11.719,
BasketballPass, 189014,        2.938,
BlowingBubbles, 249874,        2.969,
BQSquare, 243482,        2.984,
RaceHorses, 231167,        2.938,
FourPeople, 1463528,       26.875,
Johnny, 1373019,       26.672,
KristenAndSara, 1354383,       26.594,
BasketballDrillText, 761253,       11.688,
ChinaSpeed, 951757,       21.078,
SlideEditing, 947947,       23.422,
SlideShow, 205698,       15.438,
