Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 2787488,       31.430,
Traffic, 2875021,       31.720,
BasketballDrive, 1381086,       15.960,
BQTerrace, 1602162,       16.040,
Cactus, 1637356,       16.000,
Kimono, 1339727,       15.810,
ParkScene, 1580685,       16.020,
BasketballDrill, 285361,        3.100,
BQMall, 305765,        3.100,
PartyScene, 386509,        3.170,
RaceHorsesC, 312801,        3.100,
BasketballPass, 71801,        0.770,
BlowingBubbles, 88398,        0.780,
BQSquare, 85804,        0.780,
RaceHorses, 84814,        0.760,
FourPeople, 557804,        7.710,
Johnny, 514012,        7.110,
KristenAndSara, 512570,        7.100,
BasketballDrillText, 270290,        3.090,
ChinaSpeed, 380367,        5.700,
SlideEditing, 365771,        6.280,
SlideShow, 241275,        5.690,
