Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3256075,      225.960,
Traffic, 3477701,      236.070,
BasketballDrive, 701554338,    14234.550,
BQTerrace, 959753924,    17187.990,
Cactus, 788427787,    14369.700,
Kimono, 308748475,     7879.240,
ParkScene, 366707512,     8009.560,
BasketballDrill, 342422,       36.020,
BQMall, 342141,       35.890,
PartyScene, 449546,       36.390,
RaceHorsesC, 371481,       35.740,
BasketballPass, 83859,        8.960,
BlowingBubbles, 100187,        8.940,
BQSquare, 84892,        8.790,
RaceHorses, 105239,        8.820,
FourPeople, 567882,       79.880,
Johnny, 536666,       79.720,
KristenAndSara, 547851,       79.770,
BasketballDrillText, 330811,       35.720,
ChinaSpeed, 457771,       67.390,
SlideEditing, 520008,       77.350,
SlideShow, 83419,       67.130,
