Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3502004,      393.620,
Traffic, 3755047,      397.420,
BasketballDrive, 724875297,    14550.940,
BQTerrace, 989929475,    17557.470,
Cactus, 812483035,    14665.710,
Kimono, 326838976,     6953.560,
ParkScene, 384354812,     7015.740,
BasketballDrill, 369186,       38.790,
BQMall, 370258,       38.540,
PartyScene, 472264,       38.500,
RaceHorsesC, 398650,       38.720,
BasketballPass, 90801,        9.380,
BlowingBubbles, 107107,        9.600,
BQSquare, 91174,        9.480,
RaceHorses, 113009,        9.650,
FourPeople, 657960,       87.720,
Johnny, 625245,       87.630,
KristenAndSara, 638015,       87.690,
BasketballDrillText, 356116,       38.330,
ChinaSpeed, 504825,       73.110,
SlideEditing, 551328,       84.960,
SlideShow, 97142,       75.400,
