Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 24928257,      868.490,
Traffic, 25777231,      893.900,
BasketballDrive, 13326366,      472.160,
BQTerrace, 14889968,      472.670,
Cactus, 15895710,      481.600,
Kimono, 12516726,      472.340,
ParkScene, 14896767,      477.720,
BasketballDrill, 2738464,       93.290,
BQMall, 2896984,       93.600,
PartyScene, 3674845,       95.140,
RaceHorsesC, 2870392,       92.640,
BasketballPass, 644456,       23.200,
BlowingBubbles, 850224,       23.300,
BQSquare, 822959,       23.160,
RaceHorses, 772825,       23.300,
FourPeople, 4979560,      206.640,
Johnny, 4708343,      203.460,
KristenAndSara, 4618034,      203.510,
BasketballDrillText, 2575023,       92.120,
ChinaSpeed, 3359287,      165.100,
SlideEditing, 3287272,      181.270,
SlideShow, 894574,      128.590,
