Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 27897252,      444.590,
Traffic, 28758648,      452.840,
BasketballDrive, 13793093,      356.890,
BQTerrace, 16008782,      356.110,
Cactus, 16425320,      358.710,
Kimono, 13474369,      352.450,
ParkScene, 15816676,      358.530,
BasketballDrill, 2846519,       74.690,
BQMall, 3054415,       75.590,
PartyScene, 3855959,       75.380,
RaceHorsesC, 3089431,       74.630,
BasketballPass, 715059,       18.590,
BlowingBubbles, 887680,       18.740,
BQSquare, 857924,       18.420,
RaceHorses, 836207,       18.640,
FourPeople, 5578159,      169.530,
Johnny, 5150611,      168.510,
KristenAndSara, 5122837,      168.420,
BasketballDrillText, 2693554,       73.850,
ChinaSpeed, 3890714,      136.090,
SlideEditing, 3682327,      147.740,
SlideShow, 1134967,      101.960,
