Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 363383323,     6329.375,
Traffic, 374179810,     6646.797,
BasketballDrive, 691267820,    13089.234,
BQTerrace, 942890788,    16272.562,
Cactus, 781883063,    14802.500,
Kimono, 299521182,     8090.547,
ParkScene, 351225276,     7787.609,
BasketballDrill, 138653101,     2880.250,
BQMall, 162422129,     3269.172,
PartyScene, 171279244,     3107.656,
RaceHorsesC, 82270604,     1942.062,
BasketballPass, 30212379,      644.531,
BlowingBubbles, 44644766,      671.000,
BQSquare, 50614994,      940.375,
RaceHorses, 21803085,      463.391,
FourPeople, 287774487,     8912.062,
Johnny, 272693411,     8838.000,
KristenAndSara, 268375944,     8719.609,
BasketballDrillText, 133707340,     3398.812,
ChinaSpeed, 164077732,     5266.656,
SlideEditing, 91972284,     4001.062,
SlideShow, 60730409,     4434.906,
