Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 412750000,     5585.797,
Traffic, 423282166,     5723.406,
BasketballDrive, 710880798,    11493.750,
BQTerrace, 975728851,    14000.531,
Cactus, 803356276,    12740.031,
Kimono, 321090845,     7240.938,
ParkScene, 378406066,     7058.031,
BasketballDrill, 141805135,     2526.859,
BQMall, 171729502,     2907.281,
PartyScene, 179146442,     2746.656,
RaceHorsesC, 89106054,     1745.453,
BasketballPass, 34483008,      572.812,
BlowingBubbles, 46437259,      600.766,
BQSquare, 52279280,      827.484,
RaceHorses, 23859377,      415.891,
FourPeople, 323774461,     7846.219,
Johnny, 297963160,     7787.000,
KristenAndSara, 295749200,     7815.406,
BasketballDrillText, 138389585,     3000.719,
ChinaSpeed, 191760027,     5029.391,
SlideEditing, 105752052,     3525.188,
SlideShow, 75073992,     3980.844,
