Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 372444312,     6248.047,
Traffic, 381984841,     6488.781,
BasketballDrive, 692736446,    12818.484,
BQTerrace, 946135429,    15951.875,
Cactus, 783360429,    14485.812,
Kimono, 303542701,     7991.328,
ParkScene, 356741173,     7689.125,
BasketballDrill, 136309643,     2820.594,
BQMall, 163250639,     3196.938,
PartyScene, 171619141,     3052.547,
RaceHorsesC, 83349371,     1919.625,
BasketballPass, 30664887,      643.203,
BlowingBubbles, 44584926,      660.828,
BQSquare, 50550555,      918.297,
RaceHorses, 22046861,      458.047,
FourPeople, 293353666,     8779.859,
Johnny, 276636961,     8721.297,
KristenAndSara, 272709614,     8601.016,
BasketballDrillText, 131869865,     3414.672,
ChinaSpeed, 167191230,     5137.766,
SlideEditing, 94072224,     3840.359,
SlideShow, 63313273,     4780.000,
