Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 420178286,     5076.266,
Traffic, 431400818,     5048.266,
BasketballDrive, 724875297,    10362.062,
BQTerrace, 989929475,    12694.656,
Cactus, 812483035,    11305.484,
Kimono, 326838976,     6605.281,
ParkScene, 384354812,     6515.766,
BasketballDrill, 144376016,     2272.281,
BQMall, 174768131,     2638.875,
PartyScene, 181975278,     2456.516,
RaceHorsesC, 90328913,     1608.984,
BasketballPass, 35416077,      526.031,
BlowingBubbles, 46937565,      534.750,
BQSquare, 53036025,      751.938,
RaceHorses, 24166525,      377.141,
FourPeople, 335487906,     7221.484,
Johnny, 310785605,     7149.562,
KristenAndSara, 309125489,     7253.922,
BasketballDrillText, 140897220,     2719.875,
ChinaSpeed, 200579002,     4569.859,
SlideEditing, 108592791,     3280.328,
SlideShow, 77490037,     3939.891,
