Sequence, src_Bits, EI_Bits, Ratio
PeopleOnStreet, 275384402, 244644737,-11.1624568337026,
Traffic, 282688304, 253643978,-10.2743288593928,
BasketballDrive, 139924536, 140057633,0.0951205584130006,
BQTerrace, 154992932, 148944862,-3.9021585835927,
Cactus, 161681332, 160439882,-0.767837563337244,
Kimono, 131411578, 123920541,-5.7004391196033,
ParkScene, 158444126, 149320932,-5.75798815034645,
BasketballDrill, 28227003, 28147925,-0.280150181016384,
BQMall, 30186815, 29284020,-2.99069312214621,
PartyScene, 37159746, 36158720,-2.69384510862911,
RaceHorsesC, 30015406, 28053422,-6.53658990986162,
BasketballPass, 6726761, 6046942,-10.1061863205784,
BlowingBubbles, 8747530, 8425143,-3.68546321075778,
BQSquare, 8596261, 8422836,-2.0174468876643,
RaceHorses, 8052339, 7377276,-8.38343989243374,
FourPeople, 53916550, 49068929,-8.99097030503621,
Johnny, 49459227, 46379332,-6.22713937684469,
KristenAndSara, 49334464, 45941455,-6.87756331962986,
BasketballDrillText, 26851957, 26617565,-0.872904719756552,
ChinaSpeed, 37996643, 35293483,-7.11420743143019,
SlideEditing, 36486626, 35284569,-3.29451399534723,
SlideShow, 13543028, 11825074,-12.6851543096566,
AVG,-,-,-5.46483439283413,
